trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2001,False,"{'a': 0.4, 'e': 0.5398815028554796}",25,0,-48.00771603312837,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
2002,False,"{'a': 0.4, 'e': 0.5394605648724465}",25,13,9.984022353267624,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2003,False,"{'a': 0.4, 'e': 0.5390394920242751}",25,5,-6.493073439985915,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
2004,False,"{'a': 0.4, 'e': 0.5386182844162335}",20,8,-4.738535724245736,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
2005,False,"{'a': 0.4, 'e': 0.5381969421536237}",25,16,-18.54640256348253,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
2006,False,"{'a': 0.4, 'e': 0.5377754653417808}",25,0,-32.16036325263755,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
2007,False,"{'a': 0.4, 'e': 0.5373538540860746}",25,0,-43.942759915705054,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
2008,False,"{'a': 0.4, 'e': 0.5369321084919078}",35,12,-124.63218029497908,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 3}",1
2009,False,"{'a': 0.4, 'e': 0.5365102286647165}",20,0,-87.23154501749649,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
2010,False,"{'a': 0.4, 'e': 0.5360882147099708}",20,3,-10.585714282540406,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
2011,False,"{'a': 0.4, 'e': 0.5356660667331743}",25,16,-23.06767087372235,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
2012,False,"{'a': 0.4, 'e': 0.535243784839864}",20,10,8.031852796349353,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
2013,False,"{'a': 0.4, 'e': 0.5348213691356102}",35,11,-3.5163457253602575,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 0}",1
2014,False,"{'a': 0.4, 'e': 0.5343988197260168}",20,11,-47.833834977472385,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
2015,False,"{'a': 0.4, 'e': 0.5339761367167213}",30,21,-30.46504857906326,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
2016,False,"{'a': 0.4, 'e': 0.5335533202133944}",20,0,-29.38928700524268,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",1
